cluster_label,job_title
19,projet digital chantier genie civil
19,projet digital produit digital
19,projet digital magasin
19,projet digital services achats
19,superintendant digital external communications
19,projet digital magasinier
19,projet digital projet rh
19,projet digital departement controle gestion
19,projet digital partie chaud froid
19,projet digital chaine
19,projet digital poste surete
10,cuisinier
10,cuisinierpatissier
10,patissier
10,filaire
10,patissiercuisinier
10,tresorier
10,ouvrier patissier
10,cuisiniere
10,patissier pf
10,tresorerie cot projet
10,cuisinier diplome debutant accepte ha
10,commis patissier
10,cuisinier specialise cuisine franaise
10,aide cuisinier plongeur
10,tresorerie
10,commis bar
10,patissiers
10,tresorerie groupe
10,siropier
10,commis patisserie
10,cuisinier lessiveur
26,guichetier payeur polyvalent
26,comptable polyvalent confirme
26,daccueil polyvalente
26,polyvalent magasin
26,polyvalent
26,polyvalentcaissier
26,monteur polyvalent
26,chauffeur polyvalent
26,daccueil spa polyvalente
26,plombier polyvalent
26,serveur polyvalent
26,equipier polyvalent friterie
26,electricien polyvalent
26,magasinier polyvalent
26,front end polyvalent
26,scolaire polyvalent
26,six agents comptoir polyvalent
26,polyvalent aps ambalavao ambalavao
116,comptable tresorerie
116,comptable
116,comptable principal
116,comptable comptabilite belge
116,collaborateur saisie collaborateur compable
116,comptable juridique
116,collaborateur comptable
116,collaborateurstrices comptables
116,comptable confirme
116,collaborateur comptable jiorsenior
116,collaborateur comptable jior
116,comptable specialisee comptabilite franaise
116,comptable externalise bilingue freng
116,comptabilite
116,comptable cpt
116,reviseurs comptables
116,collaborateurs comptables
116,collaborateur gestionnaire paie
116,comptable odoo comptabilite malgache
116,reviseur comptable
116,comptable confirmee
116,collabrateur comptable
116,comptable externalisation
116,comptable general confirme
116,comptable general
116,comptable accotant
116,comptable bilingue fren cbjuillet
116,comptable comptabilite francaise
116,technicienne comptable bilingue comptable
116,collaborateurs comptables jiors
116,projet digital comptable groupe
116,collaborateurs gestionnaire paie
116,comptable jior bilingue fr
116,comptable comptabilite franaise cabinet
116,comptables
116,comptable groupe societes
116,comptable groupe
116,comptable rh
116,comptable precision leadership bonne ambiance
116,collaborateur comptable confirme
116,collaborateurstrices comptables collcpt fiduc
116,comptable international
116,comptable somalaval
116,comptables confirmes
116,comptable banque
116,collaborateurs comptables francais allemand
116,collaborateur comptable fr
116,comptabilite francaise
116,collaborateurs comptables jior
116,comptable semi
116,collaborateurs comptables tsimbazaza
116,comptable jior comptabilite franaise
116,comptable confirme cptc
116,comptable externalisation syndic copropriete
116,comptable groupe comptablesengp
57,expert comptable
57,expert data
57,expert referencement seo sea experimente
57,sales expert it
57,expert comptabilite
57,expert metier comptable
57,expert sea
57,comptable expert full ibiza
57,expert marketing digital
57,expert data expertdata
57,collaborateur comptable expert myisoft
57,consultant seasma
57,comptable expert sage coala
57,comptable expert quadratus
57,expert entrepreariat
193,compliance qhse rse
193,site rst
193,rse
193,rssi
193,production rsp tnn
193,supply chain rsc
121,aide maintenancier
121,aide comptable
121,aide labo
121,gardienne denfants aide familiale quebec canada quebec
121,aide administratif
121,aide
281,gestionnaire flotte location
281,operatuer suivie flotte
281,flotte
281,operateur suivi flotte
250,professeur malagasy
250,interprete chinois malagasy malagasy chinois
250,adjoint atelier production montage madagascar anosivavaka
250,adjoint administratif financier island brush company ile maurice madagascar anosivavaka
250,cotry madagascar
98,gestionnaire transport
98,transport logistique
98,directeur logistique transport
98,regulateurs planificateur transport
98,logisticien transport travaux pylones
98,formateur logistique transport
213,bureau detude
213,dessinateur bureau detude
213,bureau detudes respbe
213,bureau detudes ftth
213,topographe bureau detude
28,marketing
28,growth hacker
28,growth marketing
28,affiliate
28,webmarketer
28,projet marketing
28,webmarketer seo
28,marketing compain
28,generaliste marketing
28,expert affiliate management recherche
28,webmarketing
28,stratege marketing numerique
28,growth marketer
28,growth marketer application mobile
28,promoteurs
170,fullstack confirme
170,fullstack
170,developpeurs fullstack
170,fullstack confirme dev
170,developpeurs fullstack confirmes
170,offre fullstack
170,developppeur fullstack wordpress
170,fullstack wordpress api
170,developpeurs fullstack hybride
74,economiste construction general
74,enseignant economie droit
74,econome
74,gouvernance locale activites economiques
74,professeur sciences economiques sociales
74,marche entrepreneuriat
74,economat
109,ched manakara
109,mpanadio
271,app mobile
271,mobile
271,testeur service performance reseau mobile
271,mobile developers
271,ux mobile
271,front end mobile experimente
271,application mobile
271,data engineer applications mobiles ios android coaching
271,webmobile
37,adjoint magasin
37,adjoint responsbale production arp tnn
37,adjoint qualite
37,adjoint maintenance
37,daf adjoint
37,informatique adjoint mayotte
37,administratif polyvalent ag adm
37,adjoint maintenance imc
37,tresorerie adjoint
37,adjoint direction
37,adjoint production
37,adjoints techniques
11,customer care specialist commerce bilingue
11,customer success
11,merchandiser
11,sales
11,sales representative
11,customer succes
11,product owner
11,sales engineer
11,head of traditional sales department
11,sales development representative
11,customer tech specialist francophoneanglophone bilingue freng
11,customer success fren
11,customer
11,merchandiser merch
11,product owner bilingue
11,customer care specialist bilingue
11,merchandiser tanjombato
11,customer experiences
11,merchandiseur
11,inside sales
11,traditional sales department
11,commerce customer care specialist
11,inside sales officer
11,customer care specialist
11,english speaking customer service
11,monetics product owner
11,english customer advisors
11,customer satisfaction officer
11,customer english
11,sales development representative commercial business to business
85,consultant commication institutionnelle
85,consultant bi
85,human resources business partner
85,consultant rh
85,consultant data bi
85,human ressource business partner
85,fonctionnel erp business central
85,consultant enseignant compabilite
85,human resources
85,consultant no
85,human resource business partner
85,consultant ressources humaines
85,recrutement consultants individuels manakara sambava
85,consultant applicatif
85,consultant erp fonctionnel
85,hr business partner
85,consultant dba
85,consultant architecte solutions
85,consultant erp meti
85,consultant independant developpement durable
85,consultante rh
85,consultant accompagnement rh
183,ingenieur python
183,developpeureuse python ia llm rag freelance
183,python
183,python saas
183,pythonfast api
183,data engineer pythonspark
183,fullstack pythondjango
183,pythonodoo
183,python data engineer freelance
183,python fastapi
38,lead java
38,javaphp
38,java
38,java javasenior
38,java swing
38,back end java
38,javaspark
38,fullstack java bilingue
38,data engineer java scala
38,java fullstack
38,plsql webspherejava dv wj
134,depot
134,site majga
134,boutique majga
134,boutique
143,achat
143,achats
143,achats internationaux
143,achat stock
51,chauffeur base
51,chauffeur
51,chauffeur direction habitant imperativement andoharanofotsy
51,chauffeur elevateur
51,chauffeur direction
51,peintre
51,chauffeur manutentionnaire
51,metreur chiffreur tout corps detat
51,chauffeur poids lourd
51,chauffeur voiture particuliere
51,chauffeur coursier
51,chauffeur livreur ref chauff liv
51,peintre automobile
51,chauffeur privee
51,chauffeur direction chdirfe
51,chauffeur livreur
51,quatre aides chauffeurs
51,chauffeur mecanicien
51,chauffeur camion chauffeur
51,fraiseur
51,soudeur
51,chauffeur pl
51,chauffeurmanutentionnaire
51,chauffeur camion benne
51,chauffeur bus
51,livreur aide chauffeur
51,chauffeur semi remorque chauffeur pl
51,soudeur tuyauteur
51,chauffeur location
51,chauffeur poids lourd cpl tnn
51,chauffeur logistique
51,chauffeur convoyeur
51,tourneur fraiseur
51,chauffeur camion
51,chauffeur fort
51,chauffeur livreur recru ppn
51,peintre demonstrateur
51,chasseur talents
51,chauffeurs
23,developpeurs aspose
23,presentateurspresentatrices
79,gestionnaire location commity ia
79,activites province
79,urbaniste amenagement
31,data analyst anglophone
31,it analyst
31,analyste stock
31,business analyst
31,management reporting analyst
31,devdata engineer
31,process analyst
31,analyste tresorerie
31,analyste tresorier
31,data center operations
31,business analyst ia
31,analyste fonctionnel
31,analyste fonctionnel bi finances
31,analyst achat
31,data scientiste
31,data scientist
31,data engineer confirme
31,data analyst
31,data engineer ia antsakaviro
31,business analyst expert
31,analystes financiers
31,investment analyst apprentice
31,consultant operations processus
31,business intelligence
31,data prospector
31,data engineer
31,analyste algo
31,analyste ia
31,consultant fonctionnel crm microsoft dynamics
31,crm data analyst
31,data engineer dbtsql
31,analyste financier bi
31,business process analyst
31,business analyst rh finance
31,data configuration avancee
31,data analyst operations call center
31,analyst idp
31,data analyst looker studio antsakaviro
31,data miner
31,analyste wfm
31,data warehouse bilingue
31,graduate data analyste
31,ia data analyst
31,analyste fonctionnel odoo qualifie anoq
31,finance analyst
31,business analyst it
153,applicatif
153,apprenti dao ref apprenti daoiste
153,appui operationnel
153,apprenti data scientist
153,apprenti frc
153,apprenti rh
153,appel doffres suivi contrat
153,apprenti caviste
153,apprenti engineer
218,front
218,back
218,back end
218,front end
218,front end expert
218,backend
218,developpeurs front end back
218,top
175,gestionnaire paiements fournisseurs internationaux hf
175,gestionnaire immobilisations
175,gestionnaire comptes
175,gestionnaire maintenance confirme
175,gestionnaire rh fr
175,gestionnaire encaissements clients
175,gestionnaire immobilier
175,gestionnaire operationnel fren
175,gestionnaire paie
175,gestion impayes linternational
175,gestionnaire approvisionnement
175,gestionnaire
175,gestionnaire relation client
175,gestionnaire commaute gc
175,gestionnaire recrutement
175,gestionnaire administration rh paie
175,gestionnaire erp gesterp
175,patrimoine gestion locative
175,gestionnaire recouvrement amiable prelevement automatique
175,gestionnaire rh
175,gestionnaire dachat
175,gestionnaire comptabilite
175,gestionnaire paie confirme
175,gestionnaire rh grh
175,gestionnaire projets
175,gestionnaire appels doffre
175,gestionnaire recouvrement administration
175,gestionnaire erp
175,gestion nuisibles
175,gestionnaire camion
175,gestionnaire projet
175,gestionnaire correspondant
175,gestionnaire apprenant
175,gestionnaire paiements fournisseurs internationaux
175,gestionnaire qualite mpe amelioration
175,gestionnaire client
175,gestionnaire contenu
175,gestionnaire reservations relation client fren
175,gestionnaires clientele propsecteur
175,gestionnaire programme
175,interimaire gestionnaire recouvrement prelevement automatique
175,gestionnaire commaute
175,gestionnaire rh comptabilite
175,gestion projet immobilier
175,gestionnaire paiements locaux
175,gestionnaire administratif rh
188,administratif financier coach mentor
188,coach formateur
188,coach sportif multidisciplinaire
188,recherche coach sportif online
188,coach carriere
188,coach
188,coach business
188,coach tennis fitness
188,coach musculation
8,developpement dagence
8,dapplications smartphone
8,dao
8,ingenieur daffaire
8,daudit
8,ingenieur daffaire technique
8,dapplications
8,daccueil
8,daf
8,daffaires corporate
8,hotesse daccueil
8,dapplication ia algorithmique
8,dagence
196,controleur qualite ctq tnn
196,comptable controleur gestion
196,controle qualite
196,controleur gestion
196,controle gestion
196,controleur room
196,controleur permanent
196,controle permanent
196,controleur interne confirme
196,controleur engagements risques
196,controleur interne
196,controle gestion groupe
196,controleur gestion jior cdg jinv
196,offre controle interne
196,controle comptable gestion
196,controleur gestion ref ctrlgest
196,controleur qualite
196,controleur qualite atelier
196,controleuse qualite
196,controle gestion controle gestion
196,operateur control room
196,controleur interne finance
196,controleur permanent confirme nord base majga
196,controleur gestion sambava
196,controleur gestion industriel cdgi
196,controleur gestion parc auto
196,controleur comptable
196,controleur gestion tanjombato
196,controleur interne agricole
196,controleur gestion responsablefinances tulear
60,coursier livreur
60,coursier
60,cosmetiques
60,cosmetologue
60,coursier coursiersodiat
60,noou garde denfants domicile
60,reception livraisons
60,couturier
60,livreur
60,lingere couturiere
60,planificateur livraison
60,coursier externe
60,encaisseur coursier
60,garde denfants noou
60,noou creche nnc
70,aide magasinier
70,magasin pieces rechange
70,magasinier
70,magasin
70,magasinier aide
70,responsables magasin
70,bagagiste
70,magasinier atelier
70,magasinier livraisons pl
70,reponsable magasin habillement
70,magasin pieces detachees
70,magasinier stockage matieres premieres recru ppn
70,magasinier achats fournitures
70,magasinier arbmag
135,freelance interfaces integrations crm
135,developpeureuse net freelance
135,business bb freelance remote approche humaine commerciale innovante
135,business freelance ar mois
135,freelance it
135,operateur bpo freelance op fl
135,offre mission commercial freelance offfree ankorondrano
135,designer uxui freelance
135,developpeureuse fullstack freelance
135,freelance traffic accot digital
243,direction
243,assistance direction
243,asssitante direction
12,inventoriste
12,infographiste
12,projet digital projet informatique expertise net angular
12,reseaux it
12,informaticien
12,reseaux systemes
12,gestionnaire reseau informatique
12,geek informatique developpement wordpress solutions microsoft
12,infographiste paodao
12,informatique
12,administrateur systeme reseaux
12,projet digital projet informatique
